a,b,a_wins,b_wins,draws,games
w16d9,w32d9,3,6,15,24
w24d6,w48d6,7,10,7,24
w48d3,w96d3,9,13,2,24
w48d4,w48d5,5,17,2,24
w32d5,w48d6,6,13,5,24
w48d4,w64d4,13,9,2,24
w64d3,w64d4,2,21,1,24
w96d2,w128d2,11,11,2,24
w24d7,w32d9,6,9,9,24
w32d5,w64d5,5,15,4,24
w32d6,w48d6,9,10,5,24
w64d3,w96d3,11,11,2,24
w96d2,w96d3,2,21,1,24
w24d7,w48d7,7,12,5,24
w24d9,w32d9,7,4,13,24
w32d7,w32d9,3,12,9,24
w48d4,w64d5,5,17,2,24
w32d6,w48d7,6,12,6,24
w48d5,w48d6,6,10,8,24
w32d7,w48d7,4,10,10,24
w48d5,w64d5,5,13,6,24
w32d6,w64d6,7,9,8,24
w48d4,w96d4,12,11,1,24
w64d3,w96d4,4,20,0,24
w64d3,w128d3,13,11,0,24
w64d4,w64d5,8,15,1,24
w96d2,w128d3,2,21,1,24
w48d5,w64d6,5,13,6,24
w48d6,w48d7,6,10,8,24
w64d4,w96d4,5,17,2,24
w128d2,w128d3,2,21,1,24
w24d9,w48d9,9,9,6,24
w32d7,w48d9,6,7,11,24
w32d7,w64d7,2,14,8,24
w48d6,w64d6,6,12,6,24
w96d3,w128d3,11,12,1,24
w96d3,w96d4,4,20,0,24
w64d5,w64d6,8,15,1,24
w32d9,w48d9,7,7,10,24
w48d5,w96d5,9,11,4,24
w48d6,w64d7,6,10,8,24
w64d4,w96d5,6,15,3,24
w48d7,w48d9,8,8,8,24
w64d4,w128d4,8,15,1,24
w48d7,w64d7,6,7,11,24
w64d5,w96d5,12,6,6,24
w96d3,w128d4,6,17,1,24
w64d6,w64d7,6,9,9,24
w32d9,w64d9,7,6,11,24
w48d6,w96d6,6,12,6,24
w96d4,w96d5,8,15,1,24
w64d5,w96d6,4,16,4,24
w96d4,w128d4,10,7,7,24
w128d3,w128d4,3,20,1,24
w48d7,w64d9,2,10,12,24
w64d5,w128d5,8,12,4,24
w64d6,w96d6,10,11,3,24
w48d7,w96d7,5,12,7,24
w48d9,w64d9,7,5,12,24
w64d7,w64d9,5,10,9,24
w96d4,w128d5,7,15,2,24
w64d6,w96d7,2,14,8,24
w96d5,w96d6,3,16,5,24
w64d7,w96d7,5,11,8,24
w96d5,w128d5,5,10,9,24
w64d6,w128d6,10,10,4,24
w128d4,w128d5,9,14,1,24
w96d5,w128d6,3,17,4,24
w96d6,w96d7,5,11,8,24
w48d9,w96d9,3,8,13,24
w64d7,w96d9,4,14,6,24
w64d7,w128d7,3,11,10,24
w96d6,w128d6,5,12,7,24
w128d5,w128d6,5,14,5,24
w64d9,w96d9,8,8,8,24
w96d6,w128d7,2,10,12,24
w96d7,w96d9,2,12,10,24
w96d7,w128d7,6,6,12,24
w128d6,w128d7,6,9,9,24
w64d9,w128d9,3,11,10,24
w96d7,w128d9,2,9,13,24
w96d9,w128d9,7,6,11,24
